Datum,Rohertrag_daily
2015-10-06,30019.3127945205
2015-10-07,30019.3127945205
2015-10-08,30019.3127945205
2015-10-09,30019.3127945205
2015-10-10,30019.3127945205
2015-10-11,30019.3127945205
2015-10-12,30019.3127945205
2015-10-13,30019.3127945205
2015-10-14,30019.3127945205
2015-10-15,30019.3127945205
2015-10-16,30019.3127945205
2015-10-17,30019.3127945205
2015-10-18,30019.3127945205
2015-10-19,30019.3127945205
2015-10-20,30019.3127945205
2015-10-21,30019.3127945205
2015-10-22,30019.3127945205
2015-10-23,30019.3127945205
2015-10-24,30019.3127945205
2015-10-25,30019.3127945205
2015-10-26,30019.3127945205
2015-10-27,30019.3127945205
2015-10-28,30019.3127945205
2015-10-29,30019.3127945205
2015-10-30,30019.3127945205
2015-10-31,30019.3127945205
2015-11-01,30019.3127945205
2015-11-02,30019.3127945205
2015-11-03,30019.3127945205
2015-11-04,30019.3127945205
2015-11-05,30019.3127945205
2015-11-06,30019.3127945205
2015-11-07,30019.3127945205
2015-11-08,30019.3127945205
2015-11-09,30019.3127945205
2015-11-10,30019.3127945205
2015-11-11,30019.3127945205
2015-11-12,30019.3127945205
2015-11-13,30019.3127945205
2015-11-14,30019.3127945205
2015-11-15,30019.3127945205
