pas_faehrverkehr_absolut,pas_ausflugsverkehr_absolut,pas_kreuzfahrt_absolut,Datum
4448.605479452055,159.21917808219177,970.0,2014-01-03
4448.605479452055,159.21917808219177,970.0,2014-01-04
4448.605479452055,159.21917808219177,970.0,2014-01-05
4448.605479452055,159.21917808219177,970.0,2014-01-06
4448.605479452055,159.21917808219177,970.0,2014-01-07
4448.605479452055,159.21917808219177,970.0,2014-01-08
4448.605479452055,159.21917808219177,970.0,2014-01-09
4448.605479452055,159.21917808219177,970.0,2014-01-10
4448.605479452055,159.21917808219177,970.0,2014-01-11
4448.605479452055,159.21917808219177,970.0,2014-01-12
4448.605479452055,159.21917808219177,970.0,2014-01-13
4448.605479452055,159.21917808219177,970.0,2014-01-14
4448.605479452055,159.21917808219177,970.0,2014-01-15
4448.605479452055,159.21917808219177,970.0,2014-01-16
4448.605479452055,159.21917808219177,970.0,2014-01-17
4448.605479452055,159.21917808219177,970.0,2014-01-18
4448.605479452055,159.21917808219177,970.0,2014-01-19
4448.605479452055,159.21917808219177,970.0,2014-01-20
4448.605479452055,159.21917808219177,970.0,2014-01-21
4448.605479452055,159.21917808219177,970.0,2014-01-22
4448.605479452055,159.21917808219177,970.0,2014-01-23
4448.605479452055,159.21917808219177,970.0,2014-01-24
4448.605479452055,159.21917808219177,970.0,2014-01-25
4448.605479452055,159.21917808219177,970.0,2014-01-26
4448.605479452055,159.21917808219177,970.0,2014-01-27
4448.605479452055,159.21917808219177,970.0,2014-01-28
4448.605479452055,159.21917808219177,970.0,2014-01-29
4448.605479452055,159.21917808219177,970.0,2014-01-30
4448.605479452055,159.21917808219177,970.0,2014-01-31
4448.605479452055,159.21917808219177,970.0,2014-02-01
4448.605479452055,159.21917808219177,970.0,2014-02-02
4448.605479452055,159.21917808219177,970.0,2014-02-03
4448.605479452055,159.21917808219177,970.0,2014-02-04
4448.605479452055,159.21917808219177,970.0,2014-02-05
4448.605479452055,159.21917808219177,970.0,2014-02-06
4448.605479452055,159.21917808219177,970.0,2014-02-07
4448.605479452055,159.21917808219177,970.0,2014-02-08
4448.605479452055,159.21917808219177,970.0,2014-02-09
4448.605479452055,159.21917808219177,970.0,2014-02-10
4448.605479452055,159.21917808219177,970.0,2014-02-11
4448.605479452055,159.21917808219177,970.0,2014-02-12
4448.605479452055,159.21917808219177,970.0,2014-02-13
4448.605479452055,159.21917808219177,970.0,2014-02-14
4448.605479452055,159.21917808219177,970.0,2014-02-15
4448.605479452055,159.21917808219177,970.0,2014-02-16
4448.605479452055,159.21917808219177,970.0,2014-02-17
4448.605479452055,159.21917808219177,970.0,2014-02-18
4448.605479452055,159.21917808219177,970.0,2014-02-19
4448.605479452055,159.21917808219177,970.0,2014-02-20
4448.605479452055,159.21917808219177,970.0,2014-02-21
4448.605479452055,159.21917808219177,970.0,2014-02-22
4448.605479452055,159.21917808219177,970.0,2014-02-23
4448.605479452055,159.21917808219177,970.0,2014-02-24
4448.605479452055,159.21917808219177,970.0,2014-02-25
4448.605479452055,159.21917808219177,970.0,2014-02-26
4448.605479452055,159.21917808219177,970.0,2014-02-27
4448.605479452055,159.21917808219177,970.0,2014-02-28
4448.605479452055,159.21917808219177,970.0,2014-03-01
4448.605479452055,159.21917808219177,970.0,2014-03-02
4448.605479452055,159.21917808219177,970.0,2014-03-03
4448.605479452055,159.21917808219177,970.0,2014-03-04
4448.605479452055,159.21917808219177,970.0,2014-03-05
4448.605479452055,159.21917808219177,970.0,2014-03-06
4448.605479452055,159.21917808219177,970.0,2014-03-07
4448.605479452055,159.21917808219177,970.0,2014-03-08
4448.605479452055,159.21917808219177,970.0,2014-03-09
4448.605479452055,159.21917808219177,970.0,2014-03-10
4448.605479452055,159.21917808219177,970.0,2014-03-11
4448.605479452055,159.21917808219177,970.0,2014-03-12
4448.605479452055,159.21917808219177,970.0,2014-03-13
4448.605479452055,159.21917808219177,970.0,2014-03-14
4448.605479452055,159.21917808219177,970.0,2014-03-15
4448.605479452055,159.21917808219177,970.0,2014-03-16
4448.605479452055,159.21917808219177,970.0,2014-03-17
4448.605479452055,159.21917808219177,970.0,2014-03-18
4448.605479452055,159.21917808219177,970.0,2014-03-19
4448.605479452055,159.21917808219177,970.0,2014-03-20
4448.605479452055,159.21917808219177,970.0,2014-03-21
4448.605479452055,159.21917808219177,970.0,2014-03-22
4448.605479452055,159.21917808219177,970.0,2014-03-23
4448.605479452055,159.21917808219177,970.0,2014-03-24
4448.605479452055,159.21917808219177,970.0,2014-03-25
4448.605479452055,159.21917808219177,970.0,2014-03-26
4448.605479452055,159.21917808219177,970.0,2014-03-27
4448.605479452055,159.21917808219177,970.0,2014-03-28
4448.605479452055,159.21917808219177,970.0,2014-03-29
4448.605479452055,159.21917808219177,970.0,2014-03-30
4448.605479452055,159.21917808219177,970.0,2014-03-31
4448.605479452055,159.21917808219177,970.0,2014-04-01
4448.605479452055,159.21917808219177,970.0,2014-04-02
4448.605479452055,159.21917808219177,970.0,2014-04-03
4448.605479452055,159.21917808219177,970.0,2014-04-04
4448.605479452055,159.21917808219177,970.0,2014-04-05
4448.605479452055,159.21917808219177,970.0,2014-04-06
4448.605479452055,159.21917808219177,970.0,2014-04-07
4448.605479452055,159.21917808219177,970.0,2014-04-08
4448.605479452055,159.21917808219177,970.0,2014-04-09
4448.605479452055,159.21917808219177,970.0,2014-04-10
4448.605479452055,159.21917808219177,970.0,2014-04-11
