Datum,avg_Ankuenfte_ins_absolut,avg_uebernachtungen_ins_absolut
2016-12-25,818.5806451612904,1494.032258064516
2016-12-26,818.5806451612904,1494.032258064516
2016-12-27,818.5806451612904,1494.032258064516
2016-12-28,818.5806451612904,1494.032258064516
2016-12-29,818.5806451612904,1494.032258064516
2016-12-30,818.5806451612904,1494.032258064516
2016-12-31,818.5806451612904,1494.032258064516
2017-01-01,575.3225806451613,1135.225806451613
2017-01-02,575.3225806451613,1135.225806451613
2017-01-03,575.3225806451613,1135.225806451613
2017-01-04,575.3225806451613,1135.225806451613
2017-01-05,575.3225806451613,1135.225806451613
2017-01-06,575.3225806451613,1135.225806451613
2017-01-07,575.3225806451613,1135.225806451613
2017-01-08,575.3225806451613,1135.225806451613
2017-01-09,575.3225806451613,1135.225806451613
2017-01-10,575.3225806451613,1135.225806451613
2017-01-11,575.3225806451613,1135.225806451613
2017-01-12,575.3225806451613,1135.225806451613
2017-01-13,575.3225806451613,1135.225806451613
2017-01-14,575.3225806451613,1135.225806451613
2017-01-15,575.3225806451613,1135.225806451613
2017-01-16,575.3225806451613,1135.225806451613
2017-01-17,575.3225806451613,1135.225806451613
2017-01-18,575.3225806451613,1135.225806451613
2017-01-19,575.3225806451613,1135.225806451613
2017-01-20,575.3225806451613,1135.225806451613
2017-01-21,575.3225806451613,1135.225806451613
2017-01-22,575.3225806451613,1135.225806451613
2017-01-23,575.3225806451613,1135.225806451613
2017-01-24,575.3225806451613,1135.225806451613
2017-01-25,575.3225806451613,1135.225806451613
2017-01-26,575.3225806451613,1135.225806451613
2017-01-27,575.3225806451613,1135.225806451613
2017-01-28,575.3225806451613,1135.225806451613
2017-01-29,575.3225806451613,1135.225806451613
2017-01-30,575.3225806451613,1135.225806451613
2017-01-31,575.3225806451613,1135.225806451613
2017-02-01,739.5714285714286,1442.5714285714287
2017-02-02,739.5714285714286,1442.5714285714287
2017-02-03,739.5714285714286,1442.5714285714287
2017-02-04,739.5714285714286,1442.5714285714287
2017-02-05,739.5714285714286,1442.5714285714287
2017-02-06,739.5714285714286,1442.5714285714287
2017-02-07,739.5714285714286,1442.5714285714287
2017-02-08,739.5714285714286,1442.5714285714287
2017-02-09,739.5714285714286,1442.5714285714287
2017-02-10,739.5714285714286,1442.5714285714287
2017-02-11,739.5714285714286,1442.5714285714287
2017-02-12,739.5714285714286,1442.5714285714287
2017-02-13,739.5714285714286,1442.5714285714287
2017-02-14,739.5714285714286,1442.5714285714287
2017-02-15,739.5714285714286,1442.5714285714287
2017-02-16,739.5714285714286,1442.5714285714287
2017-02-17,739.5714285714286,1442.5714285714287
2017-02-18,739.5714285714286,1442.5714285714287
2017-02-19,739.5714285714286,1442.5714285714287
2017-02-20,739.5714285714286,1442.5714285714287
2017-02-21,739.5714285714286,1442.5714285714287
2017-02-22,739.5714285714286,1442.5714285714287
2017-02-23,739.5714285714286,1442.5714285714287
2017-02-24,739.5714285714286,1442.5714285714287
2017-02-25,739.5714285714286,1442.5714285714287
2017-02-26,739.5714285714286,1442.5714285714287
2017-02-27,739.5714285714286,1442.5714285714287
2017-02-28,739.5714285714286,1442.5714285714287
2017-03-01,799.5483870967741,1757.4516129032259
2017-03-02,799.5483870967741,1757.4516129032259
2017-03-03,799.5483870967741,1757.4516129032259
2017-03-04,799.5483870967741,1757.4516129032259
2017-03-05,799.5483870967741,1757.4516129032259
2017-03-06,799.5483870967741,1757.4516129032259
2017-03-07,799.5483870967741,1757.4516129032259
2017-03-08,799.5483870967741,1757.4516129032259
2017-03-09,799.5483870967741,1757.4516129032259
2017-03-10,799.5483870967741,1757.4516129032259
2017-03-11,799.5483870967741,1757.4516129032259
2017-03-12,799.5483870967741,1757.4516129032259
2017-03-13,799.5483870967741,1757.4516129032259
2017-03-14,799.5483870967741,1757.4516129032259
2017-03-15,799.5483870967741,1757.4516129032259
2017-03-16,799.5483870967741,1757.4516129032259
2017-03-17,799.5483870967741,1757.4516129032259
2017-03-18,799.5483870967741,1757.4516129032259
2017-03-19,799.5483870967741,1757.4516129032259
2017-03-20,799.5483870967741,1757.4516129032259
2017-03-21,799.5483870967741,1757.4516129032259
2017-03-22,799.5483870967741,1757.4516129032259
2017-03-23,799.5483870967741,1757.4516129032259
2017-03-24,799.5483870967741,1757.4516129032259
2017-03-25,799.5483870967741,1757.4516129032259
2017-03-26,799.5483870967741,1757.4516129032259
2017-03-27,799.5483870967741,1757.4516129032259
2017-03-28,799.5483870967741,1757.4516129032259
2017-03-29,799.5483870967741,1757.4516129032259
2017-03-30,799.5483870967741,1757.4516129032259
2017-03-31,799.5483870967741,1757.4516129032259
2017-04-01,864.4,1790.1
2017-04-02,864.4,1790.1
2017-04-03,864.4,1790.1
2017-04-04,864.4,1790.1
2017-04-05,864.4,1790.1
2017-04-06,864.4,1790.1
2017-04-07,864.4,1790.1
2017-04-08,864.4,1790.1
2017-04-09,864.4,1790.1
2017-04-10,864.4,1790.1
2017-04-11,864.4,1790.1
2017-04-12,864.4,1790.1
2017-04-13,864.4,1790.1
2017-04-14,864.4,1790.1
2017-04-15,864.4,1790.1
2017-04-16,864.4,1790.1
2017-04-17,864.4,1790.1
2017-04-18,864.4,1790.1
2017-04-19,864.4,1790.1
2017-04-20,864.4,1790.1
2017-04-21,864.4,1790.1
2017-04-22,864.4,1790.1
2017-04-23,864.4,1790.1
2017-04-24,864.4,1790.1
2017-04-25,864.4,1790.1
2017-04-26,864.4,1790.1
2017-04-27,864.4,1790.1
2017-04-28,864.4,1790.1
2017-04-29,864.4,1790.1
2017-04-30,864.4,1790.1
2017-05-01,1033.3548387096773,2053.2258064516127
2017-05-02,1033.3548387096773,2053.2258064516127
2017-05-03,1033.3548387096773,2053.2258064516127
2017-05-04,1033.3548387096773,2053.2258064516127
2017-05-05,1033.3548387096773,2053.2258064516127
2017-05-06,1033.3548387096773,2053.2258064516127
2017-05-07,1033.3548387096773,2053.2258064516127
2017-05-08,1033.3548387096773,2053.2258064516127
2017-05-09,1033.3548387096773,2053.2258064516127
2017-05-10,1033.3548387096773,2053.2258064516127
2017-05-11,1033.3548387096773,2053.2258064516127
2017-05-12,1033.3548387096773,2053.2258064516127
2017-05-13,1033.3548387096773,2053.2258064516127
2017-05-14,1033.3548387096773,2053.2258064516127
2017-05-15,1033.3548387096773,2053.2258064516127
2017-05-16,1033.3548387096773,2053.2258064516127
2017-05-17,1033.3548387096773,2053.2258064516127
2017-05-18,1033.3548387096773,2053.2258064516127
2017-05-19,1033.3548387096773,2053.2258064516127
2017-05-20,1033.3548387096773,2053.2258064516127
2017-05-21,1033.3548387096773,2053.2258064516127
2017-05-22,1033.3548387096773,2053.2258064516127
2017-05-23,1033.3548387096773,2053.2258064516127
2017-05-24,1033.3548387096773,2053.2258064516127
2017-05-25,1033.3548387096773,2053.2258064516127
2017-05-26,1033.3548387096773,2053.2258064516127
2017-05-27,1033.3548387096773,2053.2258064516127
2017-05-28,1033.3548387096773,2053.2258064516127
2017-05-29,1033.3548387096773,2053.2258064516127
2017-05-30,1033.3548387096773,2053.2258064516127
2017-05-31,1033.3548387096773,2053.2258064516127
2017-06-01,1240.3333333333333,2502.9
2017-06-02,1240.3333333333333,2502.9
2017-06-03,1240.3333333333333,2502.9
2017-06-04,1240.3333333333333,2502.9
2017-06-05,1240.3333333333333,2502.9
2017-06-06,1240.3333333333333,2502.9
2017-06-07,1240.3333333333333,2502.9
2017-06-08,1240.3333333333333,2502.9
2017-06-09,1240.3333333333333,2502.9
2017-06-10,1240.3333333333333,2502.9
2017-06-11,1240.3333333333333,2502.9
2017-06-12,1240.3333333333333,2502.9
2017-06-13,1240.3333333333333,2502.9
2017-06-14,1240.3333333333333,2502.9
2017-06-15,1240.3333333333333,2502.9
2017-06-16,1240.3333333333333,2502.9
2017-06-17,1240.3333333333333,2502.9
2017-06-18,1240.3333333333333,2502.9
2017-06-19,1240.3333333333333,2502.9
2017-06-20,1240.3333333333333,2502.9
2017-06-21,1240.3333333333333,2502.9
2017-06-22,1240.3333333333333,2502.9
2017-06-23,1240.3333333333333,2502.9
2017-06-24,1240.3333333333333,2502.9
2017-06-25,1240.3333333333333,2502.9
2017-06-26,1240.3333333333333,2502.9
2017-06-27,1240.3333333333333,2502.9
2017-06-28,1240.3333333333333,2502.9
2017-06-29,1240.3333333333333,2502.9
2017-06-30,1240.3333333333333,2502.9
2017-07-01,1421.3548387096773,2721.516129032258
2017-07-02,1421.3548387096773,2721.516129032258
2017-07-03,1421.3548387096773,2721.516129032258
2017-07-04,1421.3548387096773,2721.516129032258
2017-07-05,1421.3548387096773,2721.516129032258
2017-07-06,1421.3548387096773,2721.516129032258
2017-07-07,1421.3548387096773,2721.516129032258
2017-07-08,1421.3548387096773,2721.516129032258
2017-07-09,1421.3548387096773,2721.516129032258
2017-07-10,1421.3548387096773,2721.516129032258
2017-07-11,1421.3548387096773,2721.516129032258
2017-07-12,1421.3548387096773,2721.516129032258
2017-07-13,1421.3548387096773,2721.516129032258
2017-07-14,1421.3548387096773,2721.516129032258
2017-07-15,1421.3548387096773,2721.516129032258
2017-07-16,1421.3548387096773,2721.516129032258
2017-07-17,1421.3548387096773,2721.516129032258
2017-07-18,1421.3548387096773,2721.516129032258
2017-07-19,1421.3548387096773,2721.516129032258
2017-07-20,1421.3548387096773,2721.516129032258
2017-07-21,1421.3548387096773,2721.516129032258
2017-07-22,1421.3548387096773,2721.516129032258
2017-07-23,1421.3548387096773,2721.516129032258
2017-07-24,1421.3548387096773,2721.516129032258
2017-07-25,1421.3548387096773,2721.516129032258
2017-07-26,1421.3548387096773,2721.516129032258
2017-07-27,1421.3548387096773,2721.516129032258
2017-07-28,1421.3548387096773,2721.516129032258
2017-07-29,1421.3548387096773,2721.516129032258
2017-07-30,1421.3548387096773,2721.516129032258
2017-07-31,1421.3548387096773,2721.516129032258
2017-08-01,1259.6129032258063,2555.548387096774
2017-08-02,1259.6129032258063,2555.548387096774
2017-08-03,1259.6129032258063,2555.548387096774
2017-08-04,1259.6129032258063,2555.548387096774
2017-08-05,1259.6129032258063,2555.548387096774
2017-08-06,1259.6129032258063,2555.548387096774
2017-08-07,1259.6129032258063,2555.548387096774
2017-08-08,1259.6129032258063,2555.548387096774
2017-08-09,1259.6129032258063,2555.548387096774
2017-08-10,1259.6129032258063,2555.548387096774
2017-08-11,1259.6129032258063,2555.548387096774
2017-08-12,1259.6129032258063,2555.548387096774
2017-08-13,1259.6129032258063,2555.548387096774
2017-08-14,1259.6129032258063,2555.548387096774
2017-08-15,1259.6129032258063,2555.548387096774
2017-08-16,1259.6129032258063,2555.548387096774
2017-08-17,1259.6129032258063,2555.548387096774
2017-08-18,1259.6129032258063,2555.548387096774
2017-08-19,1259.6129032258063,2555.548387096774
2017-08-20,1259.6129032258063,2555.548387096774
2017-08-21,1259.6129032258063,2555.548387096774
2017-08-22,1259.6129032258063,2555.548387096774
2017-08-23,1259.6129032258063,2555.548387096774
2017-08-24,1259.6129032258063,2555.548387096774
2017-08-25,1259.6129032258063,2555.548387096774
2017-08-26,1259.6129032258063,2555.548387096774
2017-08-27,1259.6129032258063,2555.548387096774
2017-08-28,1259.6129032258063,2555.548387096774
2017-08-29,1259.6129032258063,2555.548387096774
2017-08-30,1259.6129032258063,2555.548387096774
2017-08-31,1259.6129032258063,2555.548387096774
2017-09-01,1160.6,2370.633333333333
2017-09-02,1160.6,2370.633333333333
2017-09-03,1160.6,2370.633333333333
2017-09-04,1160.6,2370.633333333333
2017-09-05,1160.6,2370.633333333333
